Base,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Wanderer,*,*,Tree,Stone,*,Tree,*,Gold,*,*,*,*,Gold,Tree,*,*,Gold,Tree,*,*,*,*,Stone,*,*,*,*,*,Tree,*,*,*,*,*,*,*,*,*,Stone,*,*,Stone,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,Tree,*,*,*,*,*,*,*,Tree,*,*,*,Gold,*,*,*,*,*,*,Gold,*,Stone,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,Stone,Stone,Tree,*,Tree,*,Tree,*,*,*,*,*,*,*,*,Tree,*,*,*,*,*,Tree,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,Gold,Stone,*,Stone,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Tree,*,*,*,*,Tree,*,*,*,*,*,*,*,Tree,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Stone,Gold,*,*,*,*,Stone,*,*,*,*,*,*,*,*,*,*
*,Gold,*,Tree,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Tree,*,*,*,*,*,*,Tree,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Tree,*
*,*,*,*,*,*,*,*,*,Tree,*,*,*,*,*,Tree,*,*,*,*,*,*,*,*,*,*,*,Tree,*,*,*,*,Stone,*,Stone,*,*,*,*,*,*,*,*,*,*,*,*,Tree,*,*
*,*,Stone,*,*,Tree,*,*,Gold,*,*,Stone,*,*,*,*,*,*,*,*,*,*,*,Gold,*,Stone,*,*,*,*,*,*,*,*,*,*,*,*,Tree,*,Gold,*,*,*,Tree,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Tree,*,*,*,*,*,*,Tree,*,*,*,*,*,*,*,*,*,*,Tree,*,*,Tree,*,*,*,*,*,*,*,Gold,*,*
*,*,Gold,*,Stone,*,*,*,*,*,Tree,Gold,*,*,Tree,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Tree,*,Stone,*,*,*,*,*,*,*,*,Gold,*,*,*
*,*,*,*,*,*,*,*,*,Tree,*,Gold,*,*,*,Tree,*,*,*,*,*,*,*,Stone,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,Tree,*,*,*,*,*,Tree,*,*,*,*,*,*,Tree,*,*,*,*,*,*,*,*,*,*,*,*,Gold,*,*,*,*,*,*,Tree,*,*,*,*,Tree,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Tree,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Stone,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Gold,*,*,*,*,*,*,*,*,Tree,*,*,*,*,*,*,*,*,Gold,*,*,*,*,*,*,Stone,*,*,*,*,*,*
*,*,*,*,*,*,*,*,Gold,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Stone,*,*,Gold,*,*,*
*,*,*,Tree,Tree,*,*,*,*,*,*,*,*,*,Tree,*,*,*,*,Gold,*,*,*,*,*,*,*,*,*,*,Tree,*,*,*,*,*,*,*,Tree,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,Tree,*,*,*,*,*,*,Gold,*,*,*,*,*,*,*,*,*,Stone,Tree,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Gold,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Tree,*,*,*,Gold,*,*,*,*,*,*,*,*,*,Gold,*,*,*,*,*,*,Tree,*,*,Wanderer
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Base
